# multipoles
# s[mm] polynom_a[n=0][T/m^n] polynom_a[n=1][T/m^n] polynom_a[n=2][T/m^n] polynom_a[n=4][T/m^n] polynom_a[n=6][T/m^n] polynom_a[n=8][T/m^n] 
+4.5800000000000004e+01 -5.6042139712772308e-03 +1.3311920873903498e-07 +1.6750577485041520e+00 +2.0182791728958643e+03 -2.1470091749337823e+06 +7.5512194344046462e+08 
+4.5900000000000006e+01 -5.5828092685297395e-03 +1.2876553898764870e-07 +1.6762574570333209e+00 +1.9816473681946475e+03 -2.1133347308949498e+06 +7.4648177083089900e+08 
+4.6000000000000000e+01 -5.5614996211980332e-03 +1.2506998295873982e-07 +1.6773034344290840e+00 +1.9456276336745586e+03 -2.0800507047766014e+06 +7.3770688927973366e+08 
+4.6100000000000001e+01 -5.5402845861653371e-03 +1.2215558737504918e-07 +1.6781992820586595e+00 +1.9102092169712134e+03 -2.0471488325245564e+06 +7.2879113277627039e+08 
+4.6200000000000003e+01 -5.5191637268291287e-03 +1.2003642992924633e-07 +1.6789480702148578e+00 +1.8753851310640812e+03 -2.0146406014648254e+06 +7.1976759561764789e+08 
+4.6300000000000004e+01 -5.4981366082164709e-03 +1.1869934604638659e-07 +1.6795527365309300e+00 +1.8411493285022748e+03 -1.9825424277171250e+06 +7.1067917280198228e+08 
+4.6400000000000006e+01 -5.4772027953543349e-03 +1.1813117124930273e-07 +1.6800162186242393e+00 +1.8074957621337669e+03 -1.9508707290550456e+06 +7.0156876208232653e+08 
+4.6500000000000000e+01 -5.4563618532686717e-03 +1.1831874098218041e-07 +1.6803414540183133e+00 +1.7744183862437160e+03 -1.9196419303862886e+06 +6.9247927230859423e+08 
+4.6600000000000001e+01 -5.4356133469869797e-03 +1.1924889083587171e-07 +1.6805313803813280e+00 +1.7419111528836604e+03 -1.8888724454660388e+06 +6.8345359490658164e+08 
+4.6700000000000003e+01 -5.4149568415355915e-03 +1.2090845603775096e-07 +1.6805889352771644e+00 +1.7099680156836500e+03 -1.8585786958438321e+06 +6.7453463339523804e+08 
+4.6800000000000004e+01 -5.3943919019412692e-03 +1.2328427225094065e-07 +1.6805170563031884e+00 +1.6785829277969794e+03 -1.8287771007975671e+06 +6.6576528784939122e+08 
+4.6900000000000006e+01 -5.3739180932307583e-03 +1.2636317484735598e-07 +1.6803186810570570e+00 +1.6477498423683621e+03 -1.7994840795575059e+06 +6.5718845827002609e+08 
+4.7000000000000000e+01 -5.3535349804308243e-03 +1.3013199944123070e-07 +1.6799967471417001e+00 +1.6174627124350898e+03 -1.7707160507438784e+06 +6.4884704362984562e+08 
+4.7100000000000001e+01 -5.3332421315237851e-03 +1.3455509227150105e-07 +1.6795541578785267e+00 +1.5877145708688561e+03 -1.7424821815964498e+06 +6.4077009010125017e+08 
+4.7200000000000003e+01 -5.3130391263149128e-03 +1.3950684336615389e-07 +1.6789936795668565e+00 +1.5584947680654634e+03 -1.7147626242404038e+06 +6.3293121716102803e+08 
+4.7300000000000004e+01 -5.2929255475646702e-03 +1.4483915376048676e-07 +1.6783180441870349e+00 +1.5297917348589922e+03 -1.6875302825107421e+06 +6.2529019638878834e+08 
+4.7400000000000006e+01 -5.2729009780339668e-03 +1.5040392415607799e-07 +1.6775299837655109e+00 +1.5015939013413476e+03 -1.6607580564466021e+06 +6.1780679334060359e+08 
+4.7500000000000000e+01 -5.2529650004840703e-03 +1.5605305564136503e-07 +1.6766322303709715e+00 +1.4738896968982151e+03 -1.6344188424243343e+06 +6.1044076772385883e+08 
+4.7600000000000001e+01 -5.2331171976750818e-03 +1.6163844907734639e-07 +1.6756275159429801e+00 +1.4466675530403368e+03 -1.6084855477878260e+06 +6.0315189673129141e+08 
+4.7700000000000003e+01 -5.2133571523683038e-03 +1.6701200537603462e-07 +1.6745185725546936e+00 +1.4199158990730853e+03 -1.5829310684698941e+06 +5.9589993932668710e+08 
+4.7800000000000004e+01 -5.1936844473242684e-03 +1.7202562527089209e-07 +1.6733081321925269e+00 +1.3936231657374990e+03 -1.5577283078438318e+06 +5.8864466637335289e+08 
+4.7900000000000006e+01 -5.1740986653037576e-03 +1.7653121002890691e-07 +1.6719989268722719e+00 +1.3677777832829393e+03 -1.5328501667156520e+06 +5.8134584460590744e+08 
+4.8000000000000000e+01 -5.1545993890676125e-03 +1.8038066026663323e-07 +1.6705936886136521e+00 +1.3423681819140115e+03 -1.5082695457301901e+06 +5.7396324058283246e+08 
+4.8100000000000001e+01 -5.1351862031472333e-03 +1.8345496425110151e-07 +1.6690950296623490e+00 +1.3173838962138282e+03 -1.4839652102982039e+06 +5.6646749838041019e+08 
+4.8200000000000003e+01 -5.1158586991568774e-03 +1.8575145912738513e-07 +1.6675050832095892e+00 +1.2928188778053736e+03 -1.4599393831320857e+06 +5.5887277008599567e+08 
+4.8300000000000004e+01 -5.0966164704815877e-03 +1.8729656927866705e-07 +1.6658258626920082e+00 +1.2686681823986110e+03 -1.4362001502920571e+06 +5.5120408313672709e+08 
+4.8400000000000006e+01 -5.0774591105057169e-03 +1.8811671907962782e-07 +1.6640593814813380e+00 +1.2449268667117913e+03 -1.4127556028822986e+06 +5.4348647285396302e+08 
+4.8500000000000000e+01 -5.0583862126141674e-03 +1.8823833304736324e-07 +1.6622076530008147e+00 +1.2215899866721413e+03 -1.3896138280859119e+06 +5.3574496847271633e+08 
+4.8600000000000001e+01 -5.0393973701921722e-03 +1.8768783541838993e-07 +1.6602726907051171e+00 +1.1986525977156430e+03 -1.3667829106107135e+06 +5.2800459533416623e+08 
+4.8700000000000003e+01 -5.0204921766241082e-03 +1.8649165061202601e-07 +1.6582565079686136e+00 +1.1761097565116975e+03 -1.3442709412921537e+06 +5.2029038831355685e+08 
+4.8800000000000004e+01 -5.0016702252949170e-03 +1.8467620313686499e-07 +1.6561611182174800e+00 +1.1539565189532186e+03 -1.3220860071773599e+06 +5.1262737647241706e+08 
+4.8900000000000006e+01 -4.9829311095894438e-03 +1.8226791728256333e-07 +1.6539885348686587e+00 +1.1321879410641827e+03 -1.3002361959209933e+06 +5.0504058976368022e+08 
+4.9000000000000000e+01 -4.9642744228925520e-03 +1.7929321754283534e-07 +1.6517407713453880e+00 +1.1107990787403553e+03 -1.2787295944496894e+06 +4.9755505691491896e+08 
+4.9100000000000001e+01 -4.9456997612260419e-03 +1.7579816157648742e-07 +1.6494197912791384e+00 +1.0897847564489689e+03 -1.2575713964745097e+06 +4.9018966188987362e+08 
+4.9200000000000003e+01 -4.9272067311599563e-03 +1.7190734051892573e-07 +1.6470273592191926e+00 +1.0691388713292224e+03 -1.2367552138994033e+06 +4.8293869471067047e+08 
+4.9300000000000004e+01 -4.9087949419007650e-03 +1.6776497891934391e-07 +1.6445651898752871e+00 +1.0488550898097558e+03 -1.2162717689222393e+06 +4.7579030603018719e+08 
+4.9400000000000006e+01 -4.8904640026554303e-03 +1.6351530116964108e-07 +1.6420349980083406e+00 +1.0289270775100943e+03 -1.1961117796595548e+06 +4.6873264009062302e+08 
+4.9500000000000000e+01 -4.8722135226307670e-03 +1.5930253188065325e-07 +1.6394384983634260e+00 +1.0093485002908537e+03 -1.1762659654148121e+06 +4.6175384296805894e+08 
+4.9600000000000001e+01 -4.8540431110338138e-03 +1.5527089535287896e-07 +1.6367774057066726e+00 +9.9011302370790952e+02 -1.1567250440403575e+06 +4.5484205855005115e+08 
+4.9700000000000003e+01 -4.8359523770711704e-03 +1.5156461624604285e-07 +1.6340534347650340e+00 +9.7121431389788211e+02 -1.1374797362044561e+06 +4.4798543502794719e+08 
+4.9800000000000004e+01 -4.8179409299498252e-03 +1.4832791884363859e-07 +1.6312683002972816e+00 +9.5264603653158099e+02 -1.1185207603302277e+06 +4.4117211717543131e+08 
+4.9900000000000006e+01 -4.8000083788766216e-03 +1.4570502784365192e-07 +1.6284237170543376e+00 +9.3440185737344802e+02 -1.0998388352313309e+06 +4.3439025029687816e+08 
+5.0000000000000000e+01 -4.7821543330583876e-03 +1.4384016748493861e-07 +1.6255213997832032e+00 +9.1647544225613092e+02 -1.0814246800727563e+06 +4.2762798024919403e+08 
+5.0100000000000001e+01 -4.7643784043542442e-03 +1.4284045048911988e-07 +1.6225630000846034e+00 +8.9886096061931460e+02 -1.0632717944632976e+06 +4.2087907750481457e+08 
+5.0200000000000003e+01 -4.7466802152342415e-03 +1.4266454194018435e-07 +1.6195499171578203e+00 +8.8155459335869625e+02 -1.0453847845118698e+06 +4.1415978664898300e+08 
+5.0300000000000004e+01 -4.7290593908203386e-03 +1.4323399496063523e-07 +1.6164834870185467e+00 +8.6455302555048809e+02 -1.0277710396196165e+06 +4.0749198131339735e+08 
+5.0400000000000006e+01 -4.7115155562348502e-03 +1.4447036266234780e-07 +1.6133650457176174e+00 +8.4785294172034673e+02 -1.0104379464071398e+06 +4.0089753074555540e+08 
+5.0500000000000000e+01 -4.6940483365999243e-03 +1.4629519821458860e-07 +1.6101959292935653e+00 +8.3145102656186998e+02 -9.9339289227713482e+05 +3.9439830536258185e+08 
+5.0600000000000001e+01 -4.6766573570381246e-03 +1.4863005484614085e-07 +1.6069774738200555e+00 +8.1534396425139676e+02 -9.7664326212997711e+05 +3.8801617176003635e+08 
+5.0700000000000003e+01 -4.6593422426714041e-03 +1.5139648564549821e-07 +1.6037110153141665e+00 +7.9952843983798289e+02 -9.6019644520609698e+05 +3.8177300328458917e+08 
+5.0800000000000004e+01 -4.6421026186218408e-03 +1.5451604374791752e-07 +1.6003978898012625e+00 +7.8400113825250082e+02 -9.4405983018474921e+05 +3.7569067243904793e+08 
+5.0900000000000006e+01 -4.6249381100118064e-03 +1.5791028238643340e-07 +1.5970394333417131e+00 +7.6875874385062241e+02 -9.2824080277923145e+05 +3.6979104699799794e+08 
+5.1000000000000000e+01 -4.6078483419634726e-03 +1.6150075462190656e-07 +1.5936369819708534e+00 +7.5379794140916374e+02 -9.1274675090580434e+05 +3.6409599828145117e+08 
+5.1100000000000001e+01 -4.5908329429645315e-03 +1.6521214371534841e-07 +1.5901918631804386e+00 +7.3911485586655795e+02 -8.9758077447713504e+05 +3.5861912844840866e+08 
+5.1200000000000003e+01 -4.5738915549637287e-03 +1.6898165325223755e-07 +1.5867053701609681e+00 +7.2470337495714546e+02 -8.8272883268569072e+05 +3.5334098124433148e+08 
+5.1300000000000004e+01 -4.5570238232754672e-03 +1.7274961679288953e-07 +1.5831787875762569e+00 +7.1055682628177271e+02 -8.6817259514021256e+05 +3.4823382866984051e+08 
+5.1400000000000006e+01 -4.5402293932139976e-03 +1.7645636801027667e-07 +1.5796134000693989e+00 +6.9666853781023258e+02 -8.5389373344556894e+05 +3.4326994601050222e+08 
+5.1500000000000000e+01 -4.5235079100933370e-03 +1.8004224033717824e-07 +1.5760104922619818e+00 +6.8303183783183658e+02 -8.3987392074998131e+05 +3.3842161090013093e+08 
+5.1600000000000001e+01 -4.5068590192278973e-03 +1.8344756755072119e-07 +1.5723713488146220e+00 +6.6964005403784768e+02 -8.2609482724925457e+05 +3.3366109640596747e+08 
+5.1700000000000003e+01 -4.4902823659320875e-03 +1.8661268318358808e-07 +1.5686972543859079e+00 +6.5648651415066365e+02 -8.1253812328662176e+05 +3.2896067581427765e+08 
+5.1800000000000004e+01 -4.4737775955198261e-03 +1.8947792083222970e-07 +1.5649894935932340e+00 +6.4356454648169665e+02 -7.9918548198240518e+05 +3.2429262656297350e+08 
+5.1900000000000006e+01 -4.4573443533054303e-03 +1.9198361423126057e-07 +1.5612493510804006e+00 +6.3086747904195363e+02 -7.8601857531621936e+05 +3.1962922470827103e+08 
+5.2000000000000000e+01 -4.4409822846034879e-03 +1.9407009682621396e-07 +1.5574781115326961e+00 +6.1838863906597555e+02 -7.7301907096485794e+05 +3.1494273912568808e+08 
+5.2100000000000001e+01 -4.4246910369839356e-03 +1.9568860567211304e-07 +1.5536769923882192e+00 +6.0612206188285347e+02 -7.6017245400923071e+05 +3.1021245352915734e+08 
+5.2200000000000003e+01 -4.4084702670411898e-03 +1.9683399171566282e-07 +1.5498469424526315e+00 +5.9406460918679682e+02 -7.4747944760576135e+05 +3.0544566012811565e+08 
+5.2300000000000004e+01 -4.3923196336255370e-03 +1.9751200937276870e-07 +1.5459888433457316e+00 +5.8221384971591897e+02 -7.3494458675724245e+05 +3.0065665696052700e+08 
+5.2400000000000006e+01 -4.3762387955877330e-03 +1.9772841281276659e-07 +1.5421035767349291e+00 +5.7056735146149128e+02 -7.2257240271457750e+05 +2.9585973618546903e+08 
+5.2500000000000000e+01 -4.3602274117777043e-03 +1.9748895653020927e-07 +1.5381920242057225e+00 +5.5912268368735920e+02 -7.1036743308008974e+05 +2.9106919986673743e+08 
+5.2600000000000001e+01 -4.3442851410462092e-03 +1.9679939485597821e-07 +1.5342550674243987e+00 +5.4787741441753474e+02 -6.9833420932154439e+05 +2.8629934056285930e+08 
+5.2700000000000003e+01 -4.3284116422432446e-03 +1.9566548198704206e-07 +1.5302935879811566e+00 +5.3682911286086141e+02 -6.8647726882395661e+05 +2.8156446006150693e+08 
+5.2800000000000004e+01 -4.3126065742194845e-03 +1.9409297237119040e-07 +1.5263084675360543e+00 +5.2597534712123343e+02 -6.7480114340238459e+05 +2.7687885140742153e+08 
+5.2900000000000006e+01 -4.2968695958250846e-03 +1.9208762036056063e-07 +1.5223005876978888e+00 +5.1531368608603839e+02 -6.6331036872320028e+05 +2.7225681357763350e+08 
+5.3000000000000000e+01 -4.2812003659105109e-03 +1.8965518024564803e-07 +1.5182708301010697e+00 +5.0484169830314971e+02 -6.5200947896758362e+05 +2.6771264347369891e+08 
+5.3100000000000001e+01 -4.2655985460050439e-03 +1.8682187116374601e-07 +1.5142200503541245e+00 +4.9455684748332249e+02 -6.4090143409687164e+05 +2.6325707509199810e+08 
+5.3200000000000003e+01 -4.2500638083536350e-03 +1.8369577155431850e-07 +1.5101489999707070e+00 +4.8445617816056989e+02 -6.2998289910414105e+05 +2.5888659498097700e+08 
+5.3300000000000004e+01 -4.2345958278804750e-03 +1.8040542443155099e-07 +1.5060584044685958e+00 +4.7453662965475951e+02 -6.1924896316876600e+05 +2.5459412461390933e+08 
+5.3400000000000006e+01 -4.2191942795093409e-03 +1.7707937291378337e-07 +1.5019489893366400e+00 +4.6479514166876413e+02 -6.0869471719112864e+05 +2.5037258795227432e+08 
+5.3500000000000000e+01 -4.2038588381641800e-03 +1.7384616022138435e-07 +1.4978214800692855e+00 +4.5522865388057249e+02 -5.9831525212374167e+05 +2.4621490921846676e+08 
+5.3600000000000001e+01 -4.1885891787688681e-03 +1.7083432944506106e-07 +1.4936766021583592e+00 +4.4583410598885484e+02 -5.8810565896642872e+05 +2.4211401265173066e+08 
+5.3700000000000003e+01 -4.1733849762474315e-03 +1.6817242370740452e-07 +1.4895150811105595e+00 +4.3660843745810126e+02 -5.7806102754777821e+05 +2.3806282066854379e+08 
+5.3800000000000004e+01 -4.1582459055237138e-03 +1.6598898616501562e-07 +1.4853376424142233e+00 +4.2754858803834486e+02 -5.6817644911141857e+05 +2.3405425787234217e+08 
+5.3900000000000006e+01 -4.1431716415218757e-03 +1.6441255988096849e-07 +1.4811450115902882e+00 +4.1865149696294208e+02 -5.5844701229524519e+05 +2.3008124477854231e+08 
+5.4000000000000000e+01 -4.1281618591653873e-03 +1.6357168811389278e-07 +1.4769379140876309e+00 +4.0991410461819140e+02 -5.4886781159582571e+05 +2.2613671114980686e+08 
+5.4100000000000001e+01 -4.1132162361023203e-03 +1.6355709474610133e-07 +1.4727170487866750e+00 +4.0133360732730699e+02 -5.3943558690817805e+05 +2.2221714159890008e+08 
+5.4200000000000003e+01 -4.0983344608735359e-03 +1.6430822780198109e-07 +1.4684830077030249e+00 +3.9290823463764019e+02 -5.3015370792720560e+05 +2.1833331627780652e+08 
+5.4300000000000004e+01 -4.0835162247441934e-03 +1.6572671580631728e-07 +1.4642363562573861e+00 +3.8463647241251891e+02 -5.2102719154139655e+05 +2.1449957288597912e+08 
+5.4400000000000006e+01 -4.0687612189790317e-03 +1.6771418769413617e-07 +1.4599776598227641e+00 +3.7651680731378366e+02 -5.1206105880663980e+05 +2.1073025581878668e+08 
+5.4500000000000000e+01 -4.0540691348426800e-03 +1.7017227221978803e-07 +1.4557074837643080e+00 +3.6854772609949993e+02 -5.0326033117589366e+05 +2.0703970999860832e+08 
+5.4600000000000001e+01 -4.0394396636001433e-03 +1.7300259804622225e-07 +1.4514263934807703e+00 +3.6072771503024188e+02 -4.9463002769265819e+05 +2.0344227666840109e+08 
+5.4700000000000003e+01 -4.0248724965163017e-03 +1.7610679385764415e-07 +1.4471349543633232e+00 +3.5305526044785790e+02 -4.8617516769320704e+05 +1.9995229740642747e+08 
+5.4800000000000004e+01 -4.0103673248557698e-03 +1.7938648849767920e-07 +1.4428337317707269e+00 +3.4552884925050364e+02 -4.7790077346272842e+05 +1.9658411858046433e+08 
+5.4900000000000006e+01 -3.9959238398836775e-03 +1.8274331069729599e-07 +1.4385232911211123e+00 +3.3814696733655580e+02 -4.6981186204134423e+05 +1.9335207809579414e+08 
+5.5000000000000000e+01 -3.9815417328646291e-03 +1.8607888922572404e-07 +1.4342041977724471e+00 +3.3090810161747476e+02 -4.6191345578257949e+05 +1.9027052242775372e+08 
+5.5100000000000001e+01 -3.9672206980812461e-03 +1.8930809635494695e-07 +1.4298770231563638e+00 +3.2381028079501095e+02 -4.5420727028201992e+05 +1.8734740123206994e+08 
+5.5200000000000003e+01 -3.9529604418869031e-03 +1.9239877864854530e-07 +1.4255423628558523e+00 +3.1684970309865008e+02 -4.4668180638090859e+05 +1.8456509655140796e+08 
+5.5300000000000004e+01 -3.9387606736520381e-03 +1.9533202605594569e-07 +1.4212008184263853e+00 +3.1002211017945069e+02 -4.3932226649069157e+05 +1.8189960679700637e+08 
+5.5400000000000006e+01 -3.9246211027480181e-03 +1.9808892866261336e-07 +1.4168529915176484e+00 +3.0332324220874995e+02 -4.3211384559536440e+05 +1.7932691875751495e+08 
+5.5500000000000000e+01 -3.9105414385451455e-03 +2.0065057656676704e-07 +1.4124994836738007e+00 +2.9674884100751473e+02 -4.2504174694458395e+05 +1.7682303214583451e+08 
+5.5600000000000001e+01 -3.8965213904150063e-03 +2.0299805971783351e-07 +1.4081408965649178e+00 +2.9029464642275940e+02 -4.1809116386345762e+05 +1.7436393111031285e+08 
+5.5700000000000003e+01 -3.8825606677278112e-03 +2.0511246829055313e-07 +1.4037778317250162e+00 +2.8395640044641755e+02 -4.1124730049828300e+05 +1.7192561680927095e+08 
+5.5800000000000004e+01 -3.8686589798547369e-03 +2.0697489220671981e-07 +1.3994108907849321e+00 +2.7772984354096479e+02 -4.0449535328242840e+05 +1.6948407828948763e+08 
+5.5900000000000006e+01 -3.8548160361668621e-03 +2.0856642160706439e-07 +1.3950406753666242e+00 +2.7161071629525850e+02 -3.9782051922856021e+05 +1.6701530543394792e+08 
+5.6000000000000000e+01 -3.8410315460347486e-03 +2.0986814649627910e-07 +1.3906677870367665e+00 +2.6559476020251026e+02 -3.9120800002206163e+05 +1.6449529559585980e+08 
+5.6100000000000001e+01 -3.8273052209144435e-03 +2.1086289863781562e-07 +1.3862927805017080e+00 +2.5967834870531271e+02 -3.8464658766901051e+05 +1.6190662058417732e+08 
+5.6200000000000003e+01 -3.8136367806022907e-03 +2.1154047655383401e-07 +1.3819160228521663e+00 +2.5386038587708163e+02 -3.7813945003273000e+05 +1.5925817325523189e+08 
+5.6300000000000004e+01 -3.8000259469797805e-03 +2.1189242051356316e-07 +1.3775378342778279e+00 +2.4814040844417843e+02 -3.7169334905426297e+05 +1.5656542706011191e+08 
+5.6400000000000006e+01 -3.7864724419282144e-03 +2.1191027077772903e-07 +1.3731585349528541e+00 +2.4251795333807340e+02 -3.6531504756556306e+05 +1.5384385668312928e+08 
+5.6500000000000000e+01 -3.7729759873293099e-03 +2.1158556753053619e-07 +1.3687784450904497e+00 +2.3699255690794789e+02 -3.5901130558542820e+05 +1.5110893253279153e+08 
+5.6600000000000001e+01 -3.7595363050641757e-03 +2.1090985117725193e-07 +1.3643978848456833e+00 +2.3156375638737421e+02 -3.5278888747875375e+05 +1.4837613171680126e+08 
+5.6700000000000003e+01 -3.7461531170142389e-03 +2.0987466180111458e-07 +1.3600171744027953e+00 +2.2623108858293574e+02 -3.4665455556513922e+05 +1.4566092824645719e+08 
+5.6800000000000004e+01 -3.7328261450612198e-03 +2.0847153967666694e-07 +1.3556366339776671e+00 +2.2099408976679968e+02 -3.4061506935473555e+05 +1.4297879159576109e+08 
+5.6900000000000006e+01 -3.7195551110863791e-03 +2.0669202509758182e-07 +1.3512565837386574e+00 +2.1585229699602775e+02 -3.3467719244182331e+05 +1.4034519779957068e+08 
+5.7000000000000000e+01 -3.7063397369710583e-03 +2.0452765833308808e-07 +1.3468773438626209e+00 +2.1080524716237485e+02 -3.2884768745926046e+05 +1.3777562122528934e+08 
+5.7100000000000001e+01 -3.6931797469352727e-03 +2.0199247101833672e-07 +1.3424992277011041e+00 +2.0585228412208286e+02 -3.2313155936340016e+05 +1.3528186897011897e+08 
+5.7200000000000003e+01 -3.6800748745521345e-03 +1.9919046073468011e-07 +1.3381225211483125e+00 +2.0099198189315263e+02 -3.1752679338439141e+05 +1.3286109552095747e+08 
+5.7300000000000004e+01 -3.6670248557329906e-03 +1.9624811649209848e-07 +1.3337475032258475e+00 +1.9622272219934715e+02 -3.1202962076561200e+05 +1.3050679381686498e+08 
+5.7400000000000006e+01 -3.6540294263895726e-03 +1.9329192731438846e-07 +1.3293744529978850e+00 +1.9154288606911473e+02 -3.0663626917872758e+05 +1.2821245112167901e+08 
+5.7500000000000000e+01 -3.6410883224332930e-03 +1.9044838208080567e-07 +1.3250036494960089e+00 +1.8695085505002513e+02 -3.0134296892319177e+05 +1.2597155883293222e+08 
+5.7600000000000001e+01 -3.6282012797757921e-03 +1.8784396993949437e-07 +1.3206353717702446e+00 +1.8244501042554805e+02 -2.9614594904965040e+05 +1.2377760647734307e+08 
+5.7700000000000003e+01 -3.6153680343286193e-03 +1.8560517976758466e-07 +1.3162698988647510e+00 +1.7802373355589970e+02 -2.9104143895004224e+05 +1.2162408406826361e+08 
+5.7800000000000004e+01 -3.6025883220032469e-03 +1.8385850064945266e-07 +1.3119075098195059e+00 +1.7368540583328092e+02 -2.8602566807317967e+05 +1.1950448160005306e+08 
+5.7900000000000006e+01 -3.5898618787110724e-03 +1.8273042156425747e-07 +1.3075484836599129e+00 +1.6942840893733202e+02 -2.8109486748923926e+05 +1.1741229179182854e+08 
+5.8000000000000000e+01 -3.5771884403640406e-03 +1.8234743148903226e-07 +1.3031930994726919e+00 +1.6525112352595451e+02 -2.7624526295252924e+05 +1.1534099884149542e+08 
+5.8100000000000001e+01 -3.5645677453312479e-03 +1.8279482940401169e-07 +1.2988416266584615e+00 +1.6115207597164340e+02 -2.7147421338797163e+05 +1.1328663205980232e+08 
+5.8200000000000003e+01 -3.5519995418132879e-03 +1.8399315420339437e-07 +1.2944942961934360e+00 +1.5713037020184251e+02 -2.6678358288131317e+05 +1.1125535715673977e+08 
+5.8300000000000004e+01 -3.5394835804689081e-03 +1.8582175466660941e-07 +1.2901513294685421e+00 +1.5318525425341318e+02 -2.6217636054305069e+05 +1.0925587209980525e+08 
+5.8400000000000006e+01 -3.5270196119567207e-03 +1.8815997965492155e-07 +1.2858129478658566e+00 +1.4931597627655782e+02 -2.5765553598193292e+05 +1.0729687556612729e+08 
+5.8500000000000000e+01 -3.5146073869352992e-03 +1.9088717803597208e-07 +1.2814793727599232e+00 +1.4552178455962030e+02 -2.5322409956117996e+05 +1.0538706747988273e+08 
+5.8600000000000001e+01 -3.5022466560634216e-03 +1.9388269857218529e-07 +1.2771508255482171e+00 +1.4180192701240753e+02 -2.4888503967908290e+05 +1.0353514461502901e+08 
+5.8700000000000003e+01 -3.4899371699993911e-03 +1.9702589017052642e-07 +1.2728275275799825e+00 +1.3815565231430452e+02 -2.4464134864395094e+05 +1.0174980992027907e+08 
+5.8800000000000004e+01 -3.4776786794016882e-03 +2.0019610163274319e-07 +1.2685097002224002e+00 +1.3458220885944129e+02 -2.4049601732366861e+05 +1.0003976408361237e+08 
+5.8900000000000006e+01 -3.4654709349293093e-03 +2.0327268177546264e-07 +1.2641975648934243e+00 +1.3108084424081810e+02 -2.3645203253350576e+05 +9.8413701404408947e+07 
+5.9000000000000000e+01 -3.4533136872405145e-03 +2.0613497941956307e-07 +1.2598913429364971e+00 +1.2765080724251321e+02 -2.3251238715633194e+05 +9.6880325788249567e+07 
+5.9100000000000001e+01 -3.4412066893894453e-03 +2.0868577340760106e-07 +1.2555912615912970e+00 +1.2429105898096796e+02 -2.2867796872834201e+05 +9.5444205793054774e+07 
+5.9200000000000003e+01 -3.4291497040118022e-03 +2.1092156229367817e-07 +1.2512975714671291e+00 +1.2099941345026973e+02 -2.2494126177281741e+05 +9.4093397973611131e+07 
+5.9300000000000004e+01 -3.4171424961392687e-03 +2.1286227449309134e-07 +1.2470105290773772e+00 +1.1777339687112867e+02 -2.2129264500208991e+05 +9.2811822891593546e+07 
+5.9400000000000006e+01 -3.4051848308021501e-03 +2.1452783858693454e-07 +1.2427303907972538e+00 +1.1461053765626782e+02 -2.1772250821837783e+05 +9.1583418566209301e+07 
+5.9500000000000000e+01 -3.3932764730324363e-03 +2.1593818304577023e-07 +1.2384574131708923e+00 +1.1150836153748787e+02 -2.1422122764787459e+05 +9.0392101624741197e+07 
+5.9600000000000001e+01 -3.3814171878609194e-03 +2.1711323635822876e-07 +1.2341918526223863e+00 +1.0846439615112369e+02 -2.1077918916297567e+05 +8.9221803899303839e+07 
+5.9700000000000003e+01 -3.3696067403192645e-03 +2.1807292708839919e-07 +1.2299339656632973e+00 +1.0547616775228845e+02 -2.0738677166189434e+05 +8.8056446251498371e+07 
+5.9800000000000004e+01 -3.3578448954382652e-03 +2.1883718371322090e-07 +1.2256840087171614e+00 +1.0254120398428834e+02 -2.0403436104382135e+05 +8.6879960545601308e+07 
+5.9900000000000006e+01 -3.3461314182494165e-03 +2.1942593466180730e-07 +1.2214422382784282e+00 +9.9657031373788584e+01 -2.0071233758128237e+05 +8.5676269807594627e+07 
+6.0000000000000000e+01 -3.3344660737837056e-03 +2.1985910851737789e-07 +1.2172089107910444e+00 +9.6821177234735586e+01 -1.9741108548790487e+05 +8.4429303225449666e+07 
+6.0100000000000001e+01 -3.3228486289051118e-03 +2.2015079011887218e-07 +1.2129842555685058e+00 +9.4031577860739063e+01 -1.9412336544396775e+05 +8.3127345904658973e+07 
+6.0200000000000003e+01 -3.3112788578079002e-03 +2.2029168940782030e-07 +1.2087683932410695e+00 +9.1287807912115909e+01 -1.9085145599574436e+05 +8.1776125077195600e+07 
+6.0300000000000004e+01 -3.2997565365188775e-03 +2.2026667293963604e-07 +1.2045614172635895e+00 +8.8589851727525740e+01 -1.8760001564824473e+05 +8.0385729347929001e+07 
+6.0400000000000006e+01 -3.2882814410647668e-03 +2.2006060699340514e-07 +1.2003634210809251e+00 +8.5937693818051827e+01 -1.8437370381678053e+05 +7.8966248790316522e+07 
+6.0500000000000000e+01 -3.2768533474726255e-03 +2.1965835796299577e-07 +1.1961744981751450e+00 +8.3331318077638159e+01 -1.8117717671226684e+05 +7.7527768347449243e+07 
+6.0600000000000001e+01 -3.2654720317689431e-03 +2.1904479228266260e-07 +1.1919947419681589e+00 +8.0770709377556400e+01 -1.7801509556803960e+05 +7.6080380956512839e+07 
+6.0700000000000003e+01 -3.2541372699809619e-03 +2.1820477627825463e-07 +1.1878242459584405e+00 +7.8255851369103198e+01 -1.7489211541805055e+05 +7.4634169758676305e+07 
